"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"FRA","France","T","Total","TOTAL","Total","2018","2018",67392109,,
"FRA","France","T","Total","TOTAL","Total","2019","2019",67677402,,
"FRA","France","T","Total","TOTAL","Total","2020","2020",67958495,,
"FRA","France","T","Total","TOTAL","Total","2021","2021",68235113,,
"FRA","France","T","Total","TOTAL","Total","2022","2022",68508013,,
"FRA","France","T","Total","TOTAL","Total","2023","2023",68778203,,
"FRA","France","T","Total","TOTAL","Total","2024","2024",69046667,,
"FRA","France","T","Total","TOTAL","Total","2025","2025",69314137,,
"FRA","France","T","Total","TOTAL","Total","2026","2026",69581306,,
"FRA","France","T","Total","TOTAL","Total","2027","2027",69849040,,
"FRA","France","T","Total","TOTAL","Total","2028","2028",70118546,,
"FRA","France","T","Total","TOTAL","Total","2029","2029",70389618,,
"FRA","France","T","Total","TOTAL","Total","2030","2030",70658373,,
"DEU","Germany","T","Total","TOTAL","Total","2018","2018",83181000,,
"DEU","Germany","T","Total","TOTAL","Total","2019","2019",83344000,,
"DEU","Germany","T","Total","TOTAL","Total","2020","2020",83424500,,
"DEU","Germany","T","Total","TOTAL","Total","2021","2021",83446000,,
"DEU","Germany","T","Total","TOTAL","Total","2022","2022",83432500,,
"DEU","Germany","T","Total","TOTAL","Total","2023","2023",83408000,,
"DEU","Germany","T","Total","TOTAL","Total","2024","2024",83372500,,
"DEU","Germany","T","Total","TOTAL","Total","2025","2025",83325000,,
"DEU","Germany","T","Total","TOTAL","Total","2026","2026",83265500,,
"DEU","Germany","T","Total","TOTAL","Total","2027","2027",83194500,,
"DEU","Germany","T","Total","TOTAL","Total","2028","2028",83112000,,
"DEU","Germany","T","Total","TOTAL","Total","2029","2029",83018000,,
"DEU","Germany","T","Total","TOTAL","Total","2030","2030",82912500,,
"JPN","Japan","T","Total","TOTAL","Total","2018","2018",126177003,,
"JPN","Japan","T","Total","TOTAL","Total","2019","2019",125772945,,
"JPN","Japan","T","Total","TOTAL","Total","2020","2020",125324842,,
"JPN","Japan","T","Total","TOTAL","Total","2021","2021",124836189,,
"JPN","Japan","T","Total","TOTAL","Total","2022","2022",124310239,,
"JPN","Japan","T","Total","TOTAL","Total","2023","2023",123750589,,
"JPN","Japan","T","Total","TOTAL","Total","2024","2024",123160804,,
"JPN","Japan","T","Total","TOTAL","Total","2025","2025",122544102,,
"JPN","Japan","T","Total","TOTAL","Total","2026","2026",121903097,,
"JPN","Japan","T","Total","TOTAL","Total","2027","2027",121239693,,
"JPN","Japan","T","Total","TOTAL","Total","2028","2028",120555142,,
"JPN","Japan","T","Total","TOTAL","Total","2029","2029",119850168,,
"JPN","Japan","T","Total","TOTAL","Total","2030","2030",119125137,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2018","2018",66465641,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2019","2019",66867421,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2020","2020",67254538,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2021","2021",67616349,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2022","2022",67961380,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2023","2023",68289602,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2024","2024",68612040,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2025","2025",68927522,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2026","2026",69234979,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2027","2027",69533396,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2028","2028",69822078,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2029","2029",70100869,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2030","2030",70369951,,
"USA","United States","T","Total","TOTAL","Total","2018","2018",327891911,,
"USA","United States","T","Total","TOTAL","Total","2019","2019",330268840,,
"USA","United States","T","Total","TOTAL","Total","2020","2020",332639102,,
"USA","United States","T","Total","TOTAL","Total","2021","2021",334998398,,
"USA","United States","T","Total","TOTAL","Total","2022","2022",337341954,,
"USA","United States","T","Total","TOTAL","Total","2023","2023",339665118,,
"USA","United States","T","Total","TOTAL","Total","2024","2024",341963408,,
"USA","United States","T","Total","TOTAL","Total","2025","2025",344234377,,
"USA","United States","T","Total","TOTAL","Total","2026","2026",346481182,,
"USA","United States","T","Total","TOTAL","Total","2027","2027",348695115,,
"USA","United States","T","Total","TOTAL","Total","2028","2028",350872007,,
"USA","United States","T","Total","TOTAL","Total","2029","2029",353008224,,
"USA","United States","T","Total","TOTAL","Total","2030","2030",355100730,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2018","2018",1415045928,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2019","2019",1420062022,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2020","2020",1424548266,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2021","2021",1428480534,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2022","2022",1431849651,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2023","2023",1434676116,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2024","2024",1436995094,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2025","2025",1438835697,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2026","2026",1440205376,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2027","2027",1441105792,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2028","2028",1441555143,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2029","2029",1441574218,,
"CHN","China (People's Republic of)","T","Total","TOTAL","Total","2030","2030",1441181813,,
"IND","India","T","Total","TOTAL","Total","2018","2018",1354051854,,
"IND","India","T","Total","TOTAL","Total","2019","2019",1368737513,,
"IND","India","T","Total","TOTAL","Total","2020","2020",1383197753,,
"IND","India","T","Total","TOTAL","Total","2021","2021",1397423009,,
"IND","India","T","Total","TOTAL","Total","2022","2022",1411415296,,
"IND","India","T","Total","TOTAL","Total","2023","2023",1425158481,,
"IND","India","T","Total","TOTAL","Total","2024","2024",1438635367,,
"IND","India","T","Total","TOTAL","Total","2025","2025",1451829004,,
"IND","India","T","Total","TOTAL","Total","2026","2026",1464726099,,
"IND","India","T","Total","TOTAL","Total","2027","2027",1477311590,,
"IND","India","T","Total","TOTAL","Total","2028","2028",1489564612,,
"IND","India","T","Total","TOTAL","Total","2029","2029",1501462374,,
"IND","India","T","Total","TOTAL","Total","2030","2030",1512985207,,
